person_id,company_id
1,72
2,55
3,60
4,30
5,52
6,81
7,24
8,24
9,82
10,85
11,56
12,51
13,4
14,95
15,79
16,26
17,58
18,76
19,55
20,50
21,1
22,91
23,28
24,27
25,36
26,97
27,91
28,9
29,74
30,14
31,69
32,24
33,47
34,42
35,26
36,59
37,15
38,34
39,86
40,63
41,68
42,82
43,41
44,77
45,50
46,79
47,51
48,76
49,15
50,45
51,46
52,59
53,80
54,23
55,87
56,91
57,39
58,79
59,76
60,11
61,87
62,18
63,41
64,16
65,31
66,40
67,15
68,24
69,48
70,89
71,19
72,66
73,50
74,54
75,77
76,18
77,74
78,50
79,55
80,24
81,63
82,82
83,69
84,89
85,83
86,23
87,72
88,22
89,63
90,37
91,18
92,24
93,41
94,58
95,80
96,7
97,46
98,2
99,63
100,18
101,25
102,50
103,72
104,65
105,84
106,64
107,53
108,88
109,63
110,54
111,91
112,57
113,63
114,22
115,11
116,73
117,4
118,98
119,29
120,38
121,5
122,36
123,29
124,69
125,37
126,22
127,100
128,59
129,73
130,96
131,99
132,99
133,64
134,71
135,66
136,15
137,74
138,15
139,35
140,100
141,70
142,47
143,70
144,97
145,6
146,98
147,93
148,57
149,70
150,28
151,55
152,14
153,95
154,84
155,97
156,32
157,39
158,5
159,58
160,34
161,45
162,12
163,57
164,16
165,100
166,31
167,27
168,95
169,76
170,89
171,45
172,91
173,79
174,81
175,55
176,22
177,79
178,18
179,27
180,27
181,8
182,73
183,45
184,69
185,36
186,77
187,69
188,22
189,42
190,91
191,38
192,38
193,74
194,35
195,66
196,87
197,13
198,18
199,97
200,53
201,8
202,36
203,84
204,17
205,90
206,17
207,32
208,19
209,92
210,42
211,32
212,98
213,87
214,51
215,63
216,19
217,74
218,81
219,35
220,81
221,54
222,49
223,58
224,10
225,82
226,99
227,12
228,52
229,66
230,96
231,36
232,89
233,48
234,59
235,63
236,42
237,75
238,1
239,100
240,94
241,12
242,94
243,59
244,82
245,86
246,90
247,46
248,9
249,69
250,51
251,28
252,55
253,28
254,64
255,35
256,42
257,37
258,44
259,71
260,74
261,17
262,73
263,63
264,44
265,88
266,98
267,7
268,6
269,13
270,81
271,59
272,3
273,16
274,21
275,57
276,59
277,1
278,55
279,26
280,89
281,17
282,84
283,39
284,21
285,36
286,12
287,84
288,47
289,33
290,11
291,48
292,86
293,84
294,22
295,7
296,51
297,81
298,40
299,93
300,90
301,97
302,30
303,55
304,84
305,12
306,91
307,13
308,1
309,28
310,62
311,10
312,17
313,76
314,29
315,67
316,88
317,57
318,2
319,2
320,90
321,44
322,16
323,55
324,89
325,17
326,62
327,10
328,30
329,50
330,12
331,94
332,14
333,14
334,41
335,48
336,39
337,18
338,49
339,100
340,97
341,18
342,83
343,87
344,19
345,9
346,68
347,73
348,2
349,79
350,84
351,22
352,57
353,45
354,93
355,28
356,81
357,96
358,20
359,53
360,79
361,88
362,57
363,28
364,12
365,13
366,18
367,97
368,16
369,76
370,94
371,50
372,45
373,55
374,41
375,18
376,32
377,36
378,83
379,11
380,32
381,71
382,77
383,77
384,93
385,78
386,37
387,100
388,89
389,4
390,85
391,39
392,27
393,67
394,78
395,66
396,25
397,96
398,51
399,38
400,83
401,7
402,31
403,64
404,50
405,15
406,31
407,64
408,82
409,77
410,10
411,68
412,2
413,47
414,41
415,17
416,50
417,73
418,54
419,47
420,70
421,88
422,23
423,98
424,61
425,99
426,10
427,3
428,76
429,9
430,2
431,34
432,28
433,6
434,8
435,51
436,65
437,37
438,81
439,92
440,65
441,99
442,54
443,55
444,90
445,52
446,11
447,82
448,69
449,69
450,79
451,20
452,36
453,11
454,40
455,11
456,66
457,27
458,20
459,69
460,42
461,51
462,76
463,82
464,98
465,84
466,88
467,83
468,9
469,40
470,90
471,56
472,94
473,31
474,8
475,32
476,12
477,56
478,15
479,59
480,79
481,78
482,8
483,40
484,86
485,95
486,85
487,95
488,23
489,16
490,2
491,91
492,18
493,90
494,2
495,21
496,64
497,45
498,67
499,67
500,93
