person_id,city_id
1,17
2,11
3,24
4,9
5,48
6,50
7,18
8,47
9,8
10,50
11,2
12,22
13,28
14,18
15,34
16,5
17,17
18,46
19,37
20,41
21,5
22,32
23,30
24,33
25,24
26,4
27,32
28,37
29,11
30,24
31,11
32,17
33,50
34,7
35,37
36,44
37,47
38,8
39,15
40,48
41,33
42,1
43,3
44,1
45,16
46,3
47,31
48,24
49,25
50,10
51,12
52,3
53,36
54,46
55,48
56,42
57,27
58,15
59,21
60,16
61,27
62,47
63,21
64,18
65,5
66,37
67,24
68,8
69,33
70,44
71,4
72,12
73,15
74,34
75,3
76,26
77,5
78,30
79,19
80,50
81,20
82,21
83,6
84,36
85,30
86,1
87,24
88,13
89,19
90,37
91,20
92,48
93,40
94,16
95,30
96,24
97,38
98,32
99,50
100,50
101,13
102,47
103,35
104,49
105,16
106,10
107,1
108,27
109,2
110,15
111,35
112,23
113,41
114,45
115,1
116,22
117,1
118,49
119,43
120,25
121,48
122,47
123,20
124,7
125,14
126,34
127,16
128,27
129,32
130,4
131,10
132,46
133,18
134,6
135,3
136,15
137,34
138,27
139,45
140,24
141,30
142,48
143,6
144,38
145,7
146,33
147,9
148,41
149,26
150,5
151,38
152,37
153,4
154,28
155,43
156,9
157,16
158,19
159,17
160,21
161,26
162,45
163,48
164,21
165,21
166,29
167,18
168,15
169,5
170,13
171,9
172,50
173,50
174,38
175,7
176,10
177,7
178,11
179,29
180,30
181,21
182,27
183,8
184,35
185,23
186,50
187,14
188,29
189,20
190,30
191,17
192,8
193,6
194,11
195,44
196,20
197,46
198,45
199,39
200,3
201,14
202,21
203,10
204,6
205,46
206,16
207,23
208,26
209,33
210,4
211,44
212,20
213,17
214,12
215,2
216,26
217,29
218,36
219,48
220,36
221,16
222,7
223,30
224,7
225,9
226,8
227,1
228,4
229,50
230,15
231,9
232,13
233,26
234,24
235,44
236,41
237,42
238,6
239,38
240,38
241,17
242,5
243,2
244,5
245,13
246,42
247,29
248,9
249,6
250,22
251,8
252,3
253,30
254,4
255,11
256,37
257,28
258,47
259,26
260,32
261,2
262,25
263,44
264,28
265,12
266,23
267,14
268,12
269,18
270,18
271,29
272,10
273,3
274,40
275,40
276,40
277,16
278,42
279,19
280,32
281,27
282,36
283,31
284,4
285,6
286,18
287,25
288,9
289,27
290,13
291,42
292,34
293,16
294,41
295,35
296,2
297,25
298,46
299,23
300,31
301,35
302,32
303,23
304,37
305,33
306,21
307,25
308,18
309,12
310,2
311,21
312,39
313,15
314,2
315,50
316,18
317,4
318,31
319,34
320,23
321,50
322,38
323,15
324,11
325,7
326,16
327,43
328,16
329,18
330,35
331,48
332,4
333,49
334,15
335,37
336,25
337,23
338,12
339,12
340,16
341,38
342,21
343,48
344,45
345,23
346,38
347,2
348,46
349,45
350,23
351,37
352,37
353,10
354,37
355,13
356,32
357,35
358,20
359,12
360,32
361,3
362,6
363,4
364,15
365,39
366,15
367,2
368,34
369,31
370,1
371,22
372,40
373,13
374,9
375,22
376,46
377,12
378,21
379,4
380,2
381,10
382,38
383,46
384,10
385,50
386,8
387,34
388,24
389,5
390,24
391,46
392,43
393,26
394,38
395,7
396,22
397,20
398,21
399,9
400,11
401,47
402,28
403,41
404,32
405,42
406,21
407,12
408,46
409,36
410,45
411,40
412,23
413,15
414,43
415,38
416,12
417,25
418,20
419,47
420,45
421,19
422,9
423,12
424,47
425,1
426,45
427,37
428,26
429,50
430,37
431,3
432,12
433,39
434,21
435,40
436,15
437,41
438,37
439,7
440,32
441,10
442,22
443,48
444,5
445,16
446,23
447,21
448,11
449,41
450,6
451,46
452,43
453,41
454,47
455,22
456,29
457,1
458,17
459,14
460,16
461,45
462,5
463,23
464,17
465,7
466,47
467,1
468,4
469,25
470,29
471,47
472,27
473,11
474,27
475,32
476,25
477,23
478,35
479,25
480,7
481,31
482,37
483,42
484,49
485,44
486,15
487,11
488,29
489,5
490,3
491,19
492,2
493,21
494,17
495,7
496,5
497,22
498,11
499,25
500,11
